ph,moisture,label,icon,reason
6.04,36.2,Terong Lalap,🍆,Tumbuh baik di kebun
7.95,28.2,Bawang Daun,🌱,Tahan pH tinggi
6.56,45.3,Sawi,🥬,Panen cepat
5.9,59.6,Oyong,🥒,Subur air tinggi
5.06,47.5,Ubi Cilembu,🍠,"Toleran asam, air sedang"
7.8,55.5,Kubis (Kol),🥬,Toleran tanah basa
6.38,60.0,Oyong,🥒,Subur air tinggi
6.94,28.6,Kemangi,🌿,Suka panas
5.6,47.4,Talas,🍃,Kuat di tanah asam lembap
6.31,54.8,Kacang Panjang,🥢,Tanah subur ideal
6.8,45.7,Bayam,🥬,Perlu air cukup
7.23,26.3,Bawang Merah,🧅,Suka pH netral-basa
7.4,48.1,Kembang Kol,🥦,Anti akar gada
6.73,27.9,Cabai Rawit,🌶️,Anti becek
4.73,10.0,Singkong,🥔,Sangat kuat kering & asam
6.61,46.4,Bayam,🥬,Perlu air cukup
7.79,31.3,Bawang Merah,🧅,Suka pH netral-basa
6.64,46.6,Bayam,🥬,Perlu air cukup
7.45,31.8,Bawang Merah,🧅,Suka pH netral-basa
4.72,18.2,Singkong,🥔,Sangat kuat kering & asam
5.21,83.4,Genjer,🌿,Suka pH rendah & basah
7.47,27.0,Bawang Merah,🧅,Suka pH netral-basa
7.16,46.5,Kembang Kol,🥦,Anti akar gada
6.3,52.4,Kacang Panjang,🥢,Tanah subur ideal
6.2,51.5,Kacang Panjang,🥢,Tanah subur ideal
5.64,53.7,Talas,🍃,Kuat di tanah asam lembap
5.2,46.4,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.74,52.6,Bayam,🥬,Perlu air cukup
4.39,85.6,Pakis Sayur,🌿,Lembap hutan
7.42,58.5,Kubis (Kol),🥬,Toleran tanah basa
5.3,84.1,Genjer,🌿,Suka pH rendah & basah
6.33,16.3,Cabai Keriting,🌶️,Drainase baik
6.43,16.3,Cabai Keriting,🌶️,Drainase baik
6.2,63.1,Oyong,🥒,Subur air tinggi
7.93,24.7,Bawang Daun,🌱,Tahan pH tinggi
7.3,48.8,Kembang Kol,🥦,Anti akar gada
6.86,52.4,Bayam,🥬,Perlu air cukup
4.81,83.8,Genjer,🌿,Suka pH rendah & basah
6.98,27.8,Kemangi,🌿,Suka panas
6.62,34.6,Kemangi,🌿,Suka panas
6.6,34.7,Kemangi,🌿,Suka panas
4.73,83.0,Genjer,🌿,Suka pH rendah & basah
5.79,34.7,Terong Lalap,🍆,Tumbuh baik di kebun
6.89,51.5,Bayam,🥬,Perlu air cukup
6.8,26.8,Kemangi,🌿,Suka panas
6.95,49.3,Bayam,🥬,Perlu air cukup
7.05,47.8,Kembang Kol,🥦,Anti akar gada
6.72,47.9,Sawi,🥬,Panen cepat
6.73,53.8,Bayam,🥬,Perlu air cukup
5.16,16.7,Singkong,🥔,Sangat kuat kering & asam
6.41,85.7,Kangkung Air,🌿,Butuh genangan air
6.42,22.9,Cabai Keriting,🌶️,Drainase baik
5.09,19.3,Singkong,🥔,Sangat kuat kering & asam
7.54,34.2,Bawang Merah,🧅,Suka pH netral-basa
7.91,22.0,Bawang Daun,🌱,Tahan pH tinggi
6.35,23.5,Cabai Keriting,🌶️,Drainase baik
6.61,51.3,Bayam,🥬,Perlu air cukup
8.05,28.6,Bawang Daun,🌱,Tahan pH tinggi
6.92,52.8,Kembang Kol,🥦,Anti akar gada
6.53,42.8,Sawi,🥬,Panen cepat
7.63,58.5,Kubis (Kol),🥬,Toleran tanah basa
7.26,63.2,Kubis (Kol),🥬,Toleran tanah basa
5.37,41.7,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.39,88.7,Kangkung Air,🌿,Butuh genangan air
7.38,60.5,Kubis (Kol),🥬,Toleran tanah basa
6.56,59.0,Kacang Panjang,🥢,Tanah subur ideal
6.4,19.3,Cabai Keriting,🌶️,Drainase baik
4.95,83.3,Genjer,🌿,Suka pH rendah & basah
6.71,20.8,Cabai Rawit,🌶️,Anti becek
4.39,89.5,Pakis Sayur,🌿,Lembap hutan
6.7,49.1,Sawi,🥬,Panen cepat
6.48,28.3,Cabai Rawit,🌶️,Anti becek
6.3,21.7,Cabai Rawit,🌶️,Anti becek
6.97,33.5,Kemangi,🌿,Suka panas
7.49,47.7,Kembang Kol,🥦,Anti akar gada
6.75,59.0,Kacang Panjang,🥢,Tanah subur ideal
7.95,24.3,Bawang Daun,🌱,Tahan pH tinggi
7.86,22.0,Bawang Daun,🌱,Tahan pH tinggi
7.56,59.4,Kubis (Kol),🥬,Toleran tanah basa
5.89,35.6,Terong Lalap,🍆,Tumbuh baik di kebun
5.09,83.3,Genjer,🌿,Suka pH rendah & basah
5.43,47.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.41,62.2,Oyong,🥒,Subur air tinggi
6.48,89.2,Kangkung Air,🌿,Butuh genangan air
5.83,31.7,Terong Lalap,🍆,Tumbuh baik di kebun
5.21,81.8,Genjer,🌿,Suka pH rendah & basah
7.51,25.2,Bawang Merah,🧅,Suka pH netral-basa
4.77,76.4,Genjer,🌿,Suka pH rendah & basah
6.64,51.4,Kacang Panjang,🥢,Tanah subur ideal
5.29,78.6,Genjer,🌿,Suka pH rendah & basah
7.07,47.9,Kembang Kol,🥦,Anti akar gada
4.35,93.4,Pakis Sayur,🌿,Lembap hutan
7.8,20.3,Bawang Daun,🌱,Tahan pH tinggi
6.28,29.6,Cabai Rawit,🌶️,Anti becek
7.51,64.0,Kubis (Kol),🥬,Toleran tanah basa
6.79,45.5,Bayam,🥬,Perlu air cukup
5.04,49.2,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.04,20.6,Cabai Keriting,🌶️,Drainase baik
6.63,81.4,Kangkung Air,🌿,Butuh genangan air
6.2,84.0,Kangkung Air,🌿,Butuh genangan air
7.27,58.4,Kubis (Kol),🥬,Toleran tanah basa
4.7,19.5,Singkong,🥔,Sangat kuat kering & asam
6.3,18.2,Cabai Keriting,🌶️,Drainase baik
6.26,56.7,Kacang Panjang,🥢,Tanah subur ideal
7.65,29.9,Bawang Daun,🌱,Tahan pH tinggi
4.8,11.6,Singkong,🥔,Sangat kuat kering & asam
6.09,32.7,Terong Lalap,🍆,Tumbuh baik di kebun
6.62,59.7,Kacang Panjang,🥢,Tanah subur ideal
7.14,49.4,Kembang Kol,🥦,Anti akar gada
4.75,94.8,Pakis Sayur,🌿,Lembap hutan
7.45,28.7,Bawang Merah,🧅,Suka pH netral-basa
5.08,12.4,Singkong,🥔,Sangat kuat kering & asam
6.97,49.8,Bayam,🥬,Perlu air cukup
7.63,57.1,Kubis (Kol),🥬,Toleran tanah basa
6.63,89.0,Kangkung Air,🌿,Butuh genangan air
6.61,52.7,Kacang Panjang,🥢,Tanah subur ideal
6.53,56.2,Kacang Panjang,🥢,Tanah subur ideal
6.24,84.9,Kangkung Air,🌿,Butuh genangan air
4.73,77.7,Genjer,🌿,Suka pH rendah & basah
4.8,14.1,Singkong,🥔,Sangat kuat kering & asam
6.98,53.5,Kembang Kol,🥦,Anti akar gada
6.65,21.6,Cabai Rawit,🌶️,Anti becek
7.34,58.1,Kubis (Kol),🥬,Toleran tanah basa
6.22,81.3,Kangkung Air,🌿,Butuh genangan air
5.77,48.7,Talas,🍃,Kuat di tanah asam lembap
4.9,17.5,Singkong,🥔,Sangat kuat kering & asam
5.73,51.4,Talas,🍃,Kuat di tanah asam lembap
7.35,54.1,Kembang Kol,🥦,Anti akar gada
6.68,34.8,Kemangi,🌿,Suka panas
4.78,89.6,Pakis Sayur,🌿,Lembap hutan
6.36,41.6,Sawi,🥬,Panen cepat
6.78,82.7,Kangkung Air,🌿,Butuh genangan air
6.55,24.5,Cabai Rawit,🌶️,Anti becek
6.42,56.4,Kacang Panjang,🥢,Tanah subur ideal
6.92,51.5,Bayam,🥬,Perlu air cukup
6.26,48.8,Sawi,🥬,Panen cepat
5.07,10.4,Singkong,🥔,Sangat kuat kering & asam
6.69,80.0,Kangkung Air,🌿,Butuh genangan air
5.76,50.7,Talas,🍃,Kuat di tanah asam lembap
6.71,52.6,Kacang Panjang,🥢,Tanah subur ideal
6.37,21.1,Cabai Rawit,🌶️,Anti becek
7.5,21.7,Bawang Daun,🌱,Tahan pH tinggi
6.65,32.6,Kemangi,🌿,Suka panas
7.09,27.7,Kemangi,🌿,Suka panas
4.4,93.1,Pakis Sayur,🌿,Lembap hutan
7.86,28.6,Bawang Daun,🌱,Tahan pH tinggi
4.81,75.2,Genjer,🌿,Suka pH rendah & basah
7.28,52.0,Kembang Kol,🥦,Anti akar gada
4.96,75.9,Genjer,🌿,Suka pH rendah & basah
6.67,83.2,Kangkung Air,🌿,Butuh genangan air
7.25,58.9,Kubis (Kol),🥬,Toleran tanah basa
6.56,84.7,Kangkung Air,🌿,Butuh genangan air
6.43,42.2,Sawi,🥬,Panen cepat
7.31,47.1,Kembang Kol,🥦,Anti akar gada
5.95,36.0,Terong Lalap,🍆,Tumbuh baik di kebun
4.71,83.8,Genjer,🌿,Suka pH rendah & basah
4.3,92.8,Pakis Sayur,🌿,Lembap hutan
5.35,52.4,Talas,🍃,Kuat di tanah asam lembap
7.09,46.9,Bayam,🥬,Perlu air cukup
5.13,82.6,Genjer,🌿,Suka pH rendah & basah
6.42,71.1,Selada Air,🥗,Air mengalir
7.6,28.9,Bawang Daun,🌱,Tahan pH tinggi
5.57,39.3,Terong Lalap,🍆,Tumbuh baik di kebun
6.24,21.4,Cabai Rawit,🌶️,Anti becek
4.55,89.8,Pakis Sayur,🌿,Lembap hutan
4.98,47.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.58,54.0,Talas,🍃,Kuat di tanah asam lembap
6.53,28.4,Cabai Rawit,🌶️,Anti becek
5.97,19.8,Cabai Keriting,🌶️,Drainase baik
6.33,78.1,Selada Air,🥗,Air mengalir
6.97,45.9,Bayam,🥬,Perlu air cukup
7.78,21.1,Bawang Daun,🌱,Tahan pH tinggi
6.8,34.8,Kemangi,🌿,Suka panas
6.41,86.3,Kangkung Air,🌿,Butuh genangan air
7.57,22.4,Bawang Daun,🌱,Tahan pH tinggi
7.64,27.6,Bawang Daun,🌱,Tahan pH tinggi
5.51,33.3,Terong Lalap,🍆,Tumbuh baik di kebun
6.48,54.9,Kacang Panjang,🥢,Tanah subur ideal
5.79,51.8,Talas,🍃,Kuat di tanah asam lembap
6.77,51.7,Bayam,🥬,Perlu air cukup
7.48,30.3,Bawang Merah,🧅,Suka pH netral-basa
4.75,85.4,Pakis Sayur,🌿,Lembap hutan
6.7,32.2,Kemangi,🌿,Suka panas
6.4,56.1,Kacang Panjang,🥢,Tanah subur ideal
7.29,32.2,Bawang Merah,🧅,Suka pH netral-basa
5.94,32.1,Terong Lalap,🍆,Tumbuh baik di kebun
6.14,20.7,Cabai Keriting,🌶️,Drainase baik
7.22,48.9,Kembang Kol,🥦,Anti akar gada
6.66,82.9,Kangkung Air,🌿,Butuh genangan air
4.4,94.8,Pakis Sayur,🌿,Lembap hutan
7.49,30.0,Bawang Merah,🧅,Suka pH netral-basa
4.59,94.0,Pakis Sayur,🌿,Lembap hutan
5.48,42.9,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.72,32.5,Terong Lalap,🍆,Tumbuh baik di kebun
6.64,25.6,Kemangi,🌿,Suka panas
5.3,54.9,Talas,🍃,Kuat di tanah asam lembap
5.62,39.0,Terong Lalap,🍆,Tumbuh baik di kebun
6.31,20.2,Cabai Keriting,🌶️,Drainase baik
6.63,27.2,Cabai Rawit,🌶️,Anti becek
6.42,41.4,Sawi,🥬,Panen cepat
5.0,82.0,Genjer,🌿,Suka pH rendah & basah
6.77,31.2,Kemangi,🌿,Suka panas
6.71,35.0,Kemangi,🌿,Suka panas
5.26,13.3,Singkong,🥔,Sangat kuat kering & asam
5.94,75.8,Selada Air,🥗,Air mengalir
7.66,26.3,Bawang Daun,🌱,Tahan pH tinggi
4.38,85.5,Pakis Sayur,🌿,Lembap hutan
6.2,49.7,Sawi,🥬,Panen cepat
5.39,47.4,Talas,🍃,Kuat di tanah asam lembap
6.3,77.1,Selada Air,🥗,Air mengalir
6.74,54.1,Bayam,🥬,Perlu air cukup
5.84,39.4,Terong Lalap,🍆,Tumbuh baik di kebun
7.53,30.2,Bawang Merah,🧅,Suka pH netral-basa
6.41,64.8,Oyong,🥒,Subur air tinggi
5.95,70.5,Selada Air,🥗,Air mengalir
7.72,31.2,Bawang Merah,🧅,Suka pH netral-basa
6.33,47.0,Sawi,🥬,Panen cepat
6.43,62.9,Oyong,🥒,Subur air tinggi
7.39,32.0,Bawang Merah,🧅,Suka pH netral-basa
7.46,64.1,Kubis (Kol),🥬,Toleran tanah basa
6.29,43.7,Sawi,🥬,Panen cepat
6.27,29.8,Cabai Rawit,🌶️,Anti becek
6.06,39.9,Terong Lalap,🍆,Tumbuh baik di kebun
6.11,24.7,Cabai Keriting,🌶️,Drainase baik
6.73,82.1,Kangkung Air,🌿,Butuh genangan air
8.02,22.3,Bawang Daun,🌱,Tahan pH tinggi
4.97,15.2,Singkong,🥔,Sangat kuat kering & asam
6.32,22.1,Cabai Rawit,🌶️,Anti becek
6.03,34.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.62,27.2,Kemangi,🌿,Suka panas
4.28,86.3,Pakis Sayur,🌿,Lembap hutan
5.15,78.8,Genjer,🌿,Suka pH rendah & basah
6.76,46.3,Bayam,🥬,Perlu air cukup
5.69,33.6,Terong Lalap,🍆,Tumbuh baik di kebun
6.32,55.4,Oyong,🥒,Subur air tinggi
6.74,49.1,Sawi,🥬,Panen cepat
7.48,33.4,Bawang Merah,🧅,Suka pH netral-basa
8.06,21.3,Bawang Daun,🌱,Tahan pH tinggi
6.54,26.4,Cabai Rawit,🌶️,Anti becek
6.2,54.4,Kacang Panjang,🥢,Tanah subur ideal
7.02,53.4,Kembang Kol,🥦,Anti akar gada
7.43,62.9,Kubis (Kol),🥬,Toleran tanah basa
5.7,38.5,Terong Lalap,🍆,Tumbuh baik di kebun
5.25,19.5,Singkong,🥔,Sangat kuat kering & asam
6.39,29.8,Cabai Rawit,🌶️,Anti becek
6.46,81.3,Kangkung Air,🌿,Butuh genangan air
4.37,86.1,Pakis Sayur,🌿,Lembap hutan
6.25,29.2,Cabai Rawit,🌶️,Anti becek
6.51,51.3,Kacang Panjang,🥢,Tanah subur ideal
5.81,35.5,Terong Lalap,🍆,Tumbuh baik di kebun
6.39,75.8,Selada Air,🥗,Air mengalir
4.71,85.3,Pakis Sayur,🌿,Lembap hutan
6.62,27.9,Cabai Rawit,🌶️,Anti becek
6.68,40.1,Sawi,🥬,Panen cepat
6.6,30.0,Kemangi,🌿,Suka panas
6.76,43.7,Sawi,🥬,Panen cepat
5.73,51.7,Talas,🍃,Kuat di tanah asam lembap
5.27,78.1,Genjer,🌿,Suka pH rendah & basah
6.65,24.6,Cabai Rawit,🌶️,Anti becek
6.36,86.2,Kangkung Air,🌿,Butuh genangan air
5.94,59.0,Oyong,🥒,Subur air tinggi
5.44,40.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.53,86.3,Pakis Sayur,🌿,Lembap hutan
6.77,41.2,Sawi,🥬,Panen cepat
4.61,93.8,Pakis Sayur,🌿,Lembap hutan
6.53,22.8,Cabai Rawit,🌶️,Anti becek
5.52,31.4,Terong Lalap,🍆,Tumbuh baik di kebun
5.79,35.0,Terong Lalap,🍆,Tumbuh baik di kebun
5.55,52.8,Talas,🍃,Kuat di tanah asam lembap
7.03,53.9,Kembang Kol,🥦,Anti akar gada
5.27,18.6,Singkong,🥔,Sangat kuat kering & asam
6.4,82.9,Kangkung Air,🌿,Butuh genangan air
7.54,22.6,Bawang Daun,🌱,Tahan pH tinggi
7.55,23.3,Bawang Daun,🌱,Tahan pH tinggi
5.58,53.3,Talas,🍃,Kuat di tanah asam lembap
7.13,46.5,Kembang Kol,🥦,Anti akar gada
6.99,47.4,Bayam,🥬,Perlu air cukup
6.09,55.6,Oyong,🥒,Subur air tinggi
4.76,94.4,Pakis Sayur,🌿,Lembap hutan
5.78,35.8,Terong Lalap,🍆,Tumbuh baik di kebun
6.04,77.9,Selada Air,🥗,Air mengalir
7.49,33.9,Bawang Merah,🧅,Suka pH netral-basa
7.74,34.3,Bawang Merah,🧅,Suka pH netral-basa
7.77,27.9,Bawang Daun,🌱,Tahan pH tinggi
7.51,24.4,Bawang Daun,🌱,Tahan pH tinggi
7.43,32.2,Bawang Merah,🧅,Suka pH netral-basa
7.14,49.0,Kembang Kol,🥦,Anti akar gada
6.02,62.8,Oyong,🥒,Subur air tinggi
6.59,59.8,Kacang Panjang,🥢,Tanah subur ideal
6.07,23.0,Cabai Keriting,🌶️,Drainase baik
6.25,85.9,Kangkung Air,🌿,Butuh genangan air
6.43,19.4,Cabai Keriting,🌶️,Drainase baik
7.63,55.4,Kubis (Kol),🥬,Toleran tanah basa
6.6,53.3,Bayam,🥬,Perlu air cukup
4.48,92.0,Pakis Sayur,🌿,Lembap hutan
4.83,10.5,Singkong,🥔,Sangat kuat kering & asam
5.93,39.1,Terong Lalap,🍆,Tumbuh baik di kebun
6.45,71.6,Selada Air,🥗,Air mengalir
7.71,22.0,Bawang Daun,🌱,Tahan pH tinggi
4.85,80.7,Genjer,🌿,Suka pH rendah & basah
6.27,59.8,Oyong,🥒,Subur air tinggi
4.76,10.9,Singkong,🥔,Sangat kuat kering & asam
6.96,50.8,Bayam,🥬,Perlu air cukup
5.6,31.1,Terong Lalap,🍆,Tumbuh baik di kebun
6.99,52.7,Kembang Kol,🥦,Anti akar gada
6.12,57.1,Oyong,🥒,Subur air tinggi
6.38,41.8,Sawi,🥬,Panen cepat
7.47,26.8,Bawang Merah,🧅,Suka pH netral-basa
6.38,23.5,Cabai Rawit,🌶️,Anti becek
5.31,42.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.44,87.0,Pakis Sayur,🌿,Lembap hutan
5.12,44.6,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.3,75.0,Selada Air,🥗,Air mengalir
6.7,82.9,Kangkung Air,🌿,Butuh genangan air
7.94,21.8,Bawang Daun,🌱,Tahan pH tinggi
4.22,90.6,Pakis Sayur,🌿,Lembap hutan
5.75,35.7,Terong Lalap,🍆,Tumbuh baik di kebun
7.93,23.5,Bawang Daun,🌱,Tahan pH tinggi
7.08,53.8,Bayam,🥬,Perlu air cukup
7.73,27.7,Bawang Merah,🧅,Suka pH netral-basa
5.97,60.8,Oyong,🥒,Subur air tinggi
6.08,63.2,Oyong,🥒,Subur air tinggi
6.58,59.4,Kacang Panjang,🥢,Tanah subur ideal
6.54,82.0,Kangkung Air,🌿,Butuh genangan air
7.61,55.2,Kubis (Kol),🥬,Toleran tanah basa
5.97,36.2,Terong Lalap,🍆,Tumbuh baik di kebun
6.45,63.5,Oyong,🥒,Subur air tinggi
6.57,54.6,Kacang Panjang,🥢,Tanah subur ideal
5.99,17.5,Cabai Keriting,🌶️,Drainase baik
6.49,79.0,Selada Air,🥗,Air mengalir
4.77,91.5,Pakis Sayur,🌿,Lembap hutan
6.78,86.3,Kangkung Air,🌿,Butuh genangan air
6.75,51.8,Bayam,🥬,Perlu air cukup
6.28,87.0,Kangkung Air,🌿,Butuh genangan air
6.36,25.7,Cabai Rawit,🌶️,Anti becek
5.26,13.9,Singkong,🥔,Sangat kuat kering & asam
5.21,75.0,Genjer,🌿,Suka pH rendah & basah
4.87,81.3,Genjer,🌿,Suka pH rendah & basah
5.15,13.5,Singkong,🥔,Sangat kuat kering & asam
4.44,93.9,Pakis Sayur,🌿,Lembap hutan
5.28,77.8,Genjer,🌿,Suka pH rendah & basah
5.22,44.3,Ubi Cilembu,🍠,"Toleran asam, air sedang"
5.99,33.1,Terong Lalap,🍆,Tumbuh baik di kebun
6.75,52.7,Bayam,🥬,Perlu air cukup
6.78,44.7,Sawi,🥬,Panen cepat
6.85,27.5,Kemangi,🌿,Suka panas
7.77,56.4,Kubis (Kol),🥬,Toleran tanah basa
7.32,32.1,Bawang Merah,🧅,Suka pH netral-basa
5.19,10.6,Singkong,🥔,Sangat kuat kering & asam
7.82,26.9,Bawang Daun,🌱,Tahan pH tinggi
6.73,83.8,Kangkung Air,🌿,Butuh genangan air
7.23,58.2,Kubis (Kol),🥬,Toleran tanah basa
6.47,15.4,Cabai Keriting,🌶️,Drainase baik
6.86,27.9,Kemangi,🌿,Suka panas
6.08,20.7,Cabai Keriting,🌶️,Drainase baik
6.64,24.6,Cabai Rawit,🌶️,Anti becek
6.66,28.0,Cabai Rawit,🌶️,Anti becek
4.84,11.4,Singkong,🥔,Sangat kuat kering & asam
5.94,24.7,Cabai Keriting,🌶️,Drainase baik
5.33,48.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.49,77.5,Selada Air,🥗,Air mengalir
6.09,79.2,Selada Air,🥗,Air mengalir
6.04,75.8,Selada Air,🥗,Air mengalir
5.81,35.7,Terong Lalap,🍆,Tumbuh baik di kebun
5.02,49.8,Ubi Cilembu,🍠,"Toleran asam, air sedang"
4.71,79.4,Genjer,🌿,Suka pH rendah & basah
6.27,83.2,Kangkung Air,🌿,Butuh genangan air
6.66,52.0,Bayam,🥬,Perlu air cukup
6.34,18.5,Cabai Keriting,🌶️,Drainase baik
7.03,49.2,Kembang Kol,🥦,Anti akar gada
6.72,51.6,Kacang Panjang,🥢,Tanah subur ideal
6.67,87.0,Kangkung Air,🌿,Butuh genangan air
7.1,47.9,Bayam,🥬,Perlu air cukup
7.3,56.5,Kubis (Kol),🥬,Toleran tanah basa
5.94,19.5,Cabai Keriting,🌶️,Drainase baik
4.91,19.6,Singkong,🥔,Sangat kuat kering & asam
6.57,53.4,Bayam,🥬,Perlu air cukup
7.79,64.3,Kubis (Kol),🥬,Toleran tanah basa
6.38,83.9,Kangkung Air,🌿,Butuh genangan air
5.99,62.3,Oyong,🥒,Subur air tinggi
6.73,48.3,Bayam,🥬,Perlu air cukup
7.38,32.3,Bawang Merah,🧅,Suka pH netral-basa
5.62,39.1,Terong Lalap,🍆,Tumbuh baik di kebun
4.78,17.3,Singkong,🥔,Sangat kuat kering & asam
6.33,83.6,Kangkung Air,🌿,Butuh genangan air
5.04,10.3,Singkong,🥔,Sangat kuat kering & asam
4.22,85.8,Pakis Sayur,🌿,Lembap hutan
7.49,53.8,Kembang Kol,🥦,Anti akar gada
6.73,54.4,Bayam,🥬,Perlu air cukup
8.05,29.8,Bawang Daun,🌱,Tahan pH tinggi
5.08,80.1,Genjer,🌿,Suka pH rendah & basah
4.85,10.2,Singkong,🥔,Sangat kuat kering & asam
6.78,52.1,Bayam,🥬,Perlu air cukup
5.91,37.9,Terong Lalap,🍆,Tumbuh baik di kebun
5.22,51.1,Talas,🍃,Kuat di tanah asam lembap
6.76,54.1,Kacang Panjang,🥢,Tanah subur ideal
5.14,43.1,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.63,43.4,Sawi,🥬,Panen cepat
5.36,48.5,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.49,16.0,Cabai Keriting,🌶️,Drainase baik
5.81,30.5,Terong Lalap,🍆,Tumbuh baik di kebun
5.98,56.7,Oyong,🥒,Subur air tinggi
6.98,32.8,Kemangi,🌿,Suka panas
6.76,56.7,Kacang Panjang,🥢,Tanah subur ideal
4.83,76.9,Genjer,🌿,Suka pH rendah & basah
6.71,56.2,Kacang Panjang,🥢,Tanah subur ideal
7.5,50.9,Kembang Kol,🥦,Anti akar gada
6.96,25.8,Kemangi,🌿,Suka panas
6.7,30.5,Kemangi,🌿,Suka panas
5.27,15.6,Singkong,🥔,Sangat kuat kering & asam
7.25,59.9,Kubis (Kol),🥬,Toleran tanah basa
6.33,55.0,Kacang Panjang,🥢,Tanah subur ideal
4.65,91.5,Pakis Sayur,🌿,Lembap hutan
6.39,23.0,Cabai Rawit,🌶️,Anti becek
6.75,88.3,Kangkung Air,🌿,Butuh genangan air
6.64,41.2,Sawi,🥬,Panen cepat
6.32,74.2,Selada Air,🥗,Air mengalir
7.36,51.3,Kembang Kol,🥦,Anti akar gada
6.45,56.3,Kacang Panjang,🥢,Tanah subur ideal
7.55,25.2,Bawang Daun,🌱,Tahan pH tinggi
7.15,45.9,Kembang Kol,🥦,Anti akar gada
6.89,52.3,Bayam,🥬,Perlu air cukup
6.9,54.5,Bayam,🥬,Perlu air cukup
7.69,31.1,Bawang Merah,🧅,Suka pH netral-basa
7.45,27.9,Bawang Merah,🧅,Suka pH netral-basa
4.74,84.8,Genjer,🌿,Suka pH rendah & basah
5.21,13.8,Singkong,🥔,Sangat kuat kering & asam
5.08,42.5,Ubi Cilembu,🍠,"Toleran asam, air sedang"
6.02,15.6,Cabai Keriting,🌶️,Drainase baik
6.45,63.4,Oyong,🥒,Subur air tinggi
5.52,47.6,Talas,🍃,Kuat di tanah asam lembap
6.25,24.6,Cabai Keriting,🌶️,Drainase baik
6.72,47.0,Sawi,🥬,Panen cepat
6.43,23.3,Cabai Rawit,🌶️,Anti becek
7.38,26.1,Bawang Merah,🧅,Suka pH netral-basa
6.44,62.3,Oyong,🥒,Subur air tinggi
4.53,89.8,Pakis Sayur,🌿,Lembap hutan
7.83,22.6,Bawang Daun,🌱,Tahan pH tinggi
5.46,48.2,Talas,🍃,Kuat di tanah asam lembap
6.94,46.7,Kembang Kol,🥦,Anti akar gada
6.75,52.5,Kacang Panjang,🥢,Tanah subur ideal
4.9,19.2,Singkong,🥔,Sangat kuat kering & asam
7.39,54.8,Kembang Kol,🥦,Anti akar gada
5.29,54.9,Talas,🍃,Kuat di tanah asam lembap
4.85,14.8,Singkong,🥔,Sangat kuat kering & asam
4.73,92.4,Pakis Sayur,🌿,Lembap hutan
6.31,26.6,Cabai Rawit,🌶️,Anti becek
6.79,48.3,Sawi,🥬,Panen cepat
6.35,58.4,Oyong,🥒,Subur air tinggi
7.43,29.0,Bawang Merah,🧅,Suka pH netral-basa
7.5,55.1,Kubis (Kol),🥬,Toleran tanah basa
4.98,18.1,Singkong,🥔,Sangat kuat kering & asam
5.5,53.9,Talas,🍃,Kuat di tanah asam lembap
6.59,40.5,Sawi,🥬,Panen cepat
7.57,21.9,Bawang Daun,🌱,Tahan pH tinggi
6.5,85.7,Kangkung Air,🌿,Butuh genangan air
4.41,92.4,Pakis Sayur,🌿,Lembap hutan
7.32,48.5,Kembang Kol,🥦,Anti akar gada
4.42,94.3,Pakis Sayur,🌿,Lembap hutan
6.57,43.6,Sawi,🥬,Panen cepat
6.8,32.1,Kemangi,🌿,Suka panas
6.23,20.0,Cabai Keriting,🌶️,Drainase baik
5.97,63.8,Oyong,🥒,Subur air tinggi
4.58,86.4,Pakis Sayur,🌿,Lembap hutan
6.35,18.4,Cabai Keriting,🌶️,Drainase baik
6.11,72.9,Selada Air,🥗,Air mengalir
4.22,94.1,Pakis Sayur,🌿,Lembap hutan
6.47,80.7,Kangkung Air,🌿,Butuh genangan air
6.93,32.1,Kemangi,🌿,Suka panas
7.09,55.0,Bayam,🥬,Perlu air cukup
4.65,86.9,Pakis Sayur,🌿,Lembap hutan
5.01,10.4,Singkong,🥔,Sangat kuat kering & asam
6.33,48.3,Sawi,🥬,Panen cepat
6.78,54.8,Kacang Panjang,🥢,Tanah subur ideal
7.6,32.9,Bawang Merah,🧅,Suka pH netral-basa
5.92,34.3,Terong Lalap,🍆,Tumbuh baik di kebun
6.16,71.8,Selada Air,🥗,Air mengalir
6.53,41.9,Sawi,🥬,Panen cepat
6.88,48.7,Bayam,🥬,Perlu air cukup
4.72,13.3,Singkong,🥔,Sangat kuat kering & asam
6.46,55.6,Oyong,🥒,Subur air tinggi
6.98,52.6,Kembang Kol,🥦,Anti akar gada
7.34,32.9,Bawang Merah,🧅,Suka pH netral-basa
